"","item","item.label","facet","facet.label","domain.label","in.brief"
"13","achi_1m","Always demands him/herself to be the best","ACHI_rm","Extreme Achievement Striving","Compulsivity",TRUE
"44","achi_2m","Makes too high demands for him/herself","ACHI_rm","Extreme Achievement Striving","Compulsivity",TRUE
"73","achi_3m","Wants to shine at everything","ACHI_rm","Extreme Achievement Striving","Compulsivity",TRUE
"133","achi_5m","Always plays hard to win, even when not necessary","ACHI_rm","Extreme Achievement Striving","Compulsivity",TRUE
"37","orde_1m","Controls surroundings by being neat all the time","ORDE_rm","Extreme Order","Compulsivity",TRUE
"65","orde_2m","Is obsessed with cleaning","ORDE_rm","Extreme Order","Compulsivity",FALSE
"95","orde_3m","Is extremely careful with his/her own belongings","ORDE_rm","Extreme Order","Compulsivity",FALSE
"127","orde_4m","Feels an extreme need for an orderly environment","ORDE_rm","Extreme Order","Compulsivity",TRUE
"154","orde_5m","Carries out every work with extreme care","ORDE_rm","Extreme Order","Compulsivity",FALSE
"179","orde_6m","Becomes very irritated when things are lying around","ORDE_rm","Extreme Order","Compulsivity",TRUE
"34","perf_1m","Wants life to be perfectly organized","PERF_rm","Perfectionism","Compulsivity",TRUE
"101","achi_4m","Devotes too much of him/herself to tasks","PERF_rm","Perfectionism","Compulsivity",FALSE
"121","perf_4m","Finds it important to do all things perfectly","PERF_rm","Perfectionism","Compulsivity",TRUE
"147","perf_5m","Always makes detailed plans when doing something","PERF_rm","Perfectionism","Compulsivity",FALSE
"173","perf_6m","Loses a lot of time trying to be perfect","PERF_rm","Perfectionism","Compulsivity",TRUE
"25","labi_1m","Has extreme mood swings","LABI_rm","Affective Lability","Disagreeableness",FALSE
"55","labi_2m","Is often moody","LABI_rm","Affective Lability","Disagreeableness",TRUE
"83","labi_3m","Has very unpredictable moods","LABI_rm","Affective Lability","Disagreeableness",TRUE
"112","labi_4m","His/her feelings are easily influenced by small things ","LABI_rm","Affective Lability","Disagreeableness",FALSE
"142","labi_5m","Has frequent mood changes from one extreme to the other","LABI_rm","Affective Lability","Disagreeableness",TRUE
"169","labi_6m","His/her feelings towards others are constantly changing","LABI_rm","Affective Lability","Disagreeableness",FALSE
"23","diso_1m","Always leaves belongings lying around","DISO_rm","Disorderliness","Disagreeableness",FALSE
"53","diso_2m","Has no sense of order","DISO_rm","Disorderliness","Disagreeableness",TRUE
"66","pers_2m","Always chooses the easy way","DISO_rm","Disorderliness","Disagreeableness",FALSE
"82","diso_3m","Is constantly leaving big messes","DISO_rm","Disorderliness","Disagreeableness",TRUE
"110","diso_4m","Never takes care of his/her belongings","DISO_rm","Disorderliness","Disagreeableness",TRUE
"155","pers_5m","Frequently postpones hard things","DISO_rm","Disorderliness","Disagreeableness",FALSE
"167","diso_6m","Is often unable to find his/her belongings","DISO_rm","Disorderliness","Disagreeableness",FALSE
"180","pers_6m","Puts things off until the last moment","DISO_rm","Disorderliness","Disagreeableness",FALSE
"18","dist_1m","Only can be focused for a few moments","DIST_rm","Distraction","Disagreeableness",FALSE
"38","pers_1m","Never finishes his/her work","DIST_rm","Distraction","Disagreeableness",TRUE
"47","dist_2m","Often has problems with focusing attention","DIST_rm","Distraction","Disagreeableness",FALSE
"76","dist_3m","Can only be focused for a few moments","DIST_rm","Distraction","Disagreeableness",TRUE
"96","pers_3m","Always quits when things get harder","DIST_rm","Distraction","Disagreeableness",FALSE
"128","pers_4m","Never persists until his/her goals are achieved","DIST_rm","Distraction","Disagreeableness",TRUE
"162","dist_6m","Can never concentrate","DIST_rm","Distraction","Disagreeableness",TRUE
"14","domi_1m","Always demands other children to listen","DOMI_rm","Dominance–Egocentrism","Disagreeableness",FALSE
"74","domi_2m","Always takes the leading position in games","DOMI_rm","Dominance–Egocentrism","Disagreeableness",FALSE
"91","egoc_3m","Tries very hard to get his/her way","DOMI_rm","Dominance–Egocentrism","Disagreeableness",FALSE
"102","domi_3m","Wants to assert him/herself all the time","DOMI_rm","Dominance–Egocentrism","Disagreeableness",TRUE
"113","mani_4m","Manipulates other children repeatedly to have his/her way","DOMI_rm","Dominance–Egocentrism","Disagreeableness",TRUE
"134","domi_4m","Always tries to interfere","DOMI_rm","Dominance–Egocentrism","Disagreeableness",FALSE
"160","domi_5m","Always imposes his/her opinion","DOMI_rm","Dominance–Egocentrism","Disagreeableness",TRUE
"175","egoc_6m","Considers own needs more important than those of others","DOMI_rm","Dominance–Egocentrism","Disagreeableness",FALSE
"12","acti_1m","Acts too intensely","ACTI_rm","Hyperactiveness","Disagreeableness",FALSE
"72","acti_3m","Can never sit still","ACTI_rm","Hyperactiveness","Disagreeableness",TRUE
"88","impa_3m","Quickly gets impatient","ACTI_rm","Hyperactiveness","Disagreeableness",FALSE
"100","acti_4m","Always plays with very high energy","ACTI_rm","Hyperactiveness","Disagreeableness",FALSE
"120","impa_4m","Gets very frustrated when he/she needs to wait somewhere","ACTI_rm","Hyperactiveness","Disagreeableness",FALSE
"132","acti_5m","Needs action at all times","ACTI_rm","Hyperactiveness","Disagreeableness",TRUE
"159","acti_6m","Has too much energy","ACTI_rm","Hyperactiveness","Disagreeableness",TRUE
"33","impa_1m","Demands his/her needs be immediately met","EXPR_rm","Hyperexpressiveness","Disagreeableness",FALSE
"35","expr_1m","Talks all the time about his/her own experiences","EXPR_rm","Hyperexpressiveness","Disagreeableness",FALSE
"60","expr_2m","Exhibits his/her feelings at all occasions","EXPR_rm","Hyperexpressiveness","Disagreeableness",TRUE
"78","impu_3m","Always interrupts other people","EXPR_rm","Hyperexpressiveness","Disagreeableness",FALSE
"122","expr_4m","Talks all the time","EXPR_rm","Hyperexpressiveness","Disagreeableness",FALSE
"148","expr_5m","Always tries to be in the center of attention","EXPR_rm","Hyperexpressiveness","Disagreeableness",FALSE
"161","narc_6m","Always tries to impress","EXPR_rm","Hyperexpressiveness","Disagreeableness",TRUE
"174","expr_6m","Does all that is possible to draw attention","EXPR_rm","Hyperexpressiveness","Disagreeableness",TRUE
"20","impu_1m","Acts constantly without considering the consequences","IMPU_rm","Impulsivity","Disagreeableness",TRUE
"50","impu_2m","Often reacts impulsively","IMPU_rm","Impulsivity","Disagreeableness",FALSE
"106","impu_4m","Always makes decisions in a very inconsiderate way","IMPU_rm","Impulsivity","Disagreeableness",TRUE
"138","impu_5m","Often acts without thinking","IMPU_rm","Impulsivity","Disagreeableness",TRUE
"29","flex_1m","Cannot adjust to changes","FLEX_rm","Inflexibility","Disagreeableness",FALSE
"40","obse_1m","Constantly repeats same actions over and over","FLEX_rm","Inflexibility","Disagreeableness",FALSE
"58","flex_2m","Sticks too rigidly to his/her way of doing things","FLEX_rm","Inflexibility","Disagreeableness",FALSE
"68","obse_2m","Is too often fixed on certain thoughts","FLEX_rm","Inflexibility","Disagreeableness",FALSE
"86","flex_3m","Gets upset when situations suddenly change","FLEX_rm","Inflexibility","Disagreeableness",FALSE
"97","obse_3m","Always has to complete activities in a certain order","FLEX_rm","Inflexibility","Disagreeableness",FALSE
"117","flex_4m","Always sticks rigidly to the familiar way of doing things","FLEX_rm","Inflexibility","Disagreeableness",TRUE
"129","obse_4m","Feels forced to repeat the same routine over and over again","FLEX_rm","Inflexibility","Disagreeableness",TRUE
"170","flex_6m","Can not adjust to sudden changes in plans","FLEX_rm","Inflexibility","Disagreeableness",TRUE
"11","irri_1m","Is extremely touchy","IRRI_rm","Irritable–Aggressive Traits","Disagreeableness",FALSE
"43","irri_2m","Gets easily irritated","IRRI_rm","Irritable–Aggressive Traits","Disagreeableness",FALSE
"64","aggr_2m","Destroys things out of anger","IRRI_rm","Irritable–Aggressive Traits","Disagreeableness",FALSE
"71","irri_3m","Explodes at any little thing","IRRI_rm","Irritable–Aggressive Traits","Disagreeableness",TRUE
"94","aggr_3m","Gets frequently out of control when he/she is angry","IRRI_rm","Irritable–Aggressive Traits","Disagreeableness",TRUE
"131","irri_5m","Is easily bothered","IRRI_rm","Irritable–Aggressive Traits","Disagreeableness",FALSE
"153","aggr_5m","Loses his/her self-control too often","IRRI_rm","Irritable–Aggressive Traits","Disagreeableness",TRUE
"158","irri_6m","Is extremely quick to take offence","IRRI_rm","Irritable–Aggressive Traits","Disagreeableness",FALSE
"178","aggr_6m","Often has excessive tempers","IRRI_rm","Irritable–Aggressive Traits","Disagreeableness",FALSE
"15","narc_1m","Fantasizes all the time about being admired by others","NARC_rm","Narcissistic Traits","Disagreeableness",FALSE
"45","narc_2m","Regularly has visions of being famous, beautiful or beloved","NARC_rm","Narcissistic Traits","Disagreeableness",FALSE
"61","gran_2m","Believes that he/she is very special and unique","NARC_rm","Narcissistic Traits","Disagreeableness",FALSE
"75","narc_3m","Takes pride in his/her talents and accomplishments","NARC_rm","Narcissistic Traits","Disagreeableness",FALSE
"90","gran_3m","Believes he/she has a right to preferential treatment","NARC_rm","Narcissistic Traits","Disagreeableness",FALSE
"124","gran_4m","Considers him/herself more worthy than others","NARC_rm","Narcissistic Traits","Disagreeableness",TRUE
"135","narc_5m","Will do anything to be in the spotlight","NARC_rm","Narcissistic Traits","Disagreeableness",TRUE
"149","gran_5m","Frequently thinks that he/she is the best","NARC_rm","Narcissistic Traits","Disagreeableness",TRUE
"26","mani_1m","Cheats all the time","RESI_rm","Resistance","Disagreeableness",TRUE
"27","resi_1m","Always tries to resist","RESI_rm","Resistance","Disagreeableness",FALSE
"56","resi_2m","Breaks rules all the time, both at school and at home","RESI_rm","Resistance","Disagreeableness",TRUE
"114","resi_4m","Is frequently disobedient without reason","RESI_rm","Resistance","Disagreeableness",TRUE
"143","resi_5m","Always refuses to do what is asked","RESI_rm","Resistance","Disagreeableness",FALSE
"22","risk_1m","Is often attracted to dangerous situations","RISK_rm","Risk Taking","Disagreeableness",FALSE
