"","achi_1m","sepa_1m","self_1m","impu_1m","atta_1m","mani_1m","perf_1m","subm_1m","orde_1m","pers_1m","anxi_2m","achi_2m","sepa_2m","self_2m","diso_2m","stre_2m","labi_2m","resi_2m","expr_2m","with_2m","shyn_2m","irri_3m","acti_3m","achi_3m","dist_3m","depe_3m","empa_3m","atta_3m","risk_3m","diso_3m","labi_3m","depr_3m","naiv_3m","subm_3m","with_3m","aggr_3m","anxi_4m","para_4m","domi_3m","sepa_4m","self_4m","depe_4m","impu_4m","empa_4m","risk_4m","diso_4m","stre_4m","mani_4m","resi_4m","avoi_4m","flex_4m","rumi_4m","perf_4m","naiv_4m","gran_4m","with_4m","orde_4m","pers_4m","obse_4m","para_5m","acti_5m","achi_5m","narc_5m","self_5m","depe_5m","impu_5m","empa_5m","risk_5m","labi_5m","depr_5m","rumi_5m","gran_5m","aggr_5m","shyn_5m","para_6m","acti_6m","domi_5m","narc_6m","dist_6m","atta_6m","stre_6m","flex_6m","perf_6m","expr_6m","with_6m","orde_6m","dayd_1m","dayd_2m","oddt_2m","fant_1m","fant_3m","sens_2m","oddt_3m","fant_5m","sens_3m","dayd_4m","sens_4m","oddt_6m"
"1",1,2,5,3,NA,1,5,1,NA,3,3,4,3,5,3,5,5,3,1,3,4,5,4,1,2,4,1,1,1,2,3,4,1,1,1,3,4,2,1,3,4,3,1,2,1,2,4,1,1,3,4,1,1,1,1,3,1,4,1,2,4,1,1,4,2,1,1,1,3,4,4,1,4,4,1,4,1,1,2,5,4,5,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",4,2,2,1,3,2,2,1,NA,2,3,5,2,5,2,4,4,2,2,3,1,4,1,4,2,4,2,3,2,2,3,2,3,3,2,2,3,2,3,2,4,2,2,2,1,1,3,3,1,1,3,1,4,2,1,3,2,3,2,2,3,3,1,4,3,3,1,1,1,1,3,2,3,1,1,3,3,2,2,2,3,3,4,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2,1,1,2,2,1,1,2,NA,1,1,2,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,1,3,2,3,1,3,2,1,1,1,3,1,3,3,2,2,1,1,4,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,1,1,2,1,3,1,1,2,1,1,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",4,1,2,2,2,1,NA,1,2,1,2,2,1,2,1,1,2,1,1,4,2,2,1,2,1,1,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,3,2,2,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,1,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",5,1,2,3,2,1,1,4,1,1,1,5,1,1,1,2,3,2,3,3,1,4,1,5,1,2,2,2,2,1,3,1,2,1,2,4,2,2,3,1,2,2,2,2,2,3,2,2,2,3,3,1,5,2,4,3,4,2,1,1,2,4,3,2,2,2,1,1,3,1,2,4,3,2,1,3,4,3,1,1,2,3,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
